image,sigma,method,psnr,ssim
PD_coronal_087.npy,0.05,RicianNet,30.414624560760657,0.9177106618881226
PD_coronal_087.npy,0.05,Attention U-Net,31.90590051591462,0.9313182234764099
PD_coronal_091.npy,0.05,Noisy,26.14059982325567,0.714316189289093
PD_coronal_091.npy,0.05,DnCNN,33.77132296610811,0.9533557295799255
PD_coronal_091.npy,0.05,RicianNet,30.422264186358078,0.9185213446617126
PD_coronal_091.npy,0.05,Attention U-Net,31.82121774833216,0.9333987832069397
PD_coronal_094.npy,0.05,Noisy,26.203381084817043,0.7245821952819824
PD_coronal_094.npy,0.05,DnCNN,33.70468102810908,0.9554679989814758
PD_coronal_094.npy,0.05,RicianNet,30.46089035717732,0.9223855137825012
PD_coronal_094.npy,0.05,Attention U-Net,31.83040449031136,0.9385073184967041
PD_coronal_096.npy,0.05,Noisy,26.204112219990577,0.724798321723938
PD_coronal_096.npy,0.05,DnCNN,33.62200664772228,0.9525940418243408
PD_coronal_096.npy,0.05,RicianNet,30.294651889501797,0.9151347875595093
PD_coronal_096.npy,0.05,Attention U-Net,31.646001595274814,0.933729350566864
PD_coronal_098.npy,0.05,Noisy,26.104595260463324,0.7177897691726685
PD_coronal_098.npy,0.05,DnCNN,33.544909593361965,0.9527776837348938
PD_coronal_098.npy,0.05,RicianNet,30.296971567956742,0.9163402915000916
PD_coronal_098.npy,0.05,Attention U-Net,31.60038974136027,0.9329728484153748
PD_coronal_109.npy,0.05,Noisy,26.15593871232395,0.7139883041381836
PD_coronal_109.npy,0.05,DnCNN,33.66583972615456,0.9500449299812317
PD_coronal_109.npy,0.05,RicianNet,30.37989161471504,0.9160363674163818
PD_coronal_109.npy,0.05,Attention U-Net,31.333058673567237,0.9290934801101685
PD_coronal_111.npy,0.05,Noisy,26.197061665790255,0.7115648984909058
PD_coronal_111.npy,0.05,DnCNN,33.60448981747224,0.950192391872406
PD_coronal_111.npy,0.05,RicianNet,30.40782298574786,0.9165118336677551
PD_coronal_111.npy,0.05,Attention U-Net,31.444551147126475,0.9298521280288696
PD_coronal_118.npy,0.05,Noisy,26.24936875542548,0.7017521262168884
PD_coronal_118.npy,0.05,DnCNN,33.69508732610943,0.9470703601837158
PD_coronal_118.npy,0.05,RicianNet,30.557196344244943,0.9114882946014404
PD_coronal_118.npy,0.05,Attention U-Net,31.86882161614117,0.9268406629562378
PD_coronal_120.npy,0.05,Noisy,26.171408601467057,0.6999804973602295
PD_coronal_120.npy,0.05,DnCNN,33.663818493088286,0.9473868012428284
PD_coronal_120.npy,0.05,RicianNet,30.28598112338702,0.906015932559967
PD_coronal_120.npy,0.05,Attention U-Net,31.515049780737012,0.9253630638122559
PD_coronal_131.npy,0.05,Noisy,26.16120661560729,0.7230464220046997
PD_coronal_131.npy,0.05,DnCNN,33.39771086719472,0.9516816139221191
PD_coronal_131.npy,0.05,RicianNet,29.889323226108058,0.9125494360923767
PD_coronal_131.npy,0.05,Attention U-Net,31.099777553237264,0.9231964349746704
PD_coronal_136.npy,0.05,Noisy,26.225907368443863,0.7125676870346069
PD_coronal_136.npy,0.05,DnCNN,33.57954089093902,0.950725793838501
PD_coronal_136.npy,0.05,RicianNet,30.130269150715336,0.9076456427574158
PD_coronal_136.npy,0.05,Attention U-Net,31.40826894237687,0.9225009679794312
PD_coronal_138.npy,0.05,Noisy,26.206648310065344,0.7138620018959045
PD_coronal_138.npy,0.05,DnCNN,33.482458849388635,0.9493511915206909
PD_coronal_138.npy,0.05,RicianNet,29.870860425553776,0.9028632640838623
PD_coronal_138.npy,0.05,Attention U-Net,31.17918561777963,0.9202376008033752
PD_coronal_141.npy,0.05,Noisy,26.171682898004242,0.7336782217025757
